CAD_commit,pair,grid,frequency_MHz,Sdd11_dB,Scd21_dB,insertion_loss_dB
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,26,-53.543463233024696,-75.03427106079477,0.00048228062800357863
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,27,-53.216032015297294,-74.70640879574331,0.0004815082591227239
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,28,-52.90053789226354,-74.39044685976566,0.0004807109319078057
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,29,-52.59614391299844,-74.085550361317,0.00047988910687775594
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,30,-52.30209827414469,-73.79096922073107,0.00047904326043971283
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,31,-52.01772314779886,-73.50602706203898,0.0004781738847925629
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,32,-51.742405283697614,-73.23011186534764,0.0004772814878256595
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,33,-51.47558805794979,-72.96266805524708,0.0004763665930368292
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,34,-51.216764709079285,-72.70318976850349,0.0004754297394175884
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,35,-50.96547255478935,-72.45121509624549,0.00047447148134607575
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,36,-50.721288023605084,-72.20632113616671,0.0004734923885040929
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,37,-50.483822367380355,-71.96811972172713,0.00047249304573531857
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,38,-50.25271794568464,-71.7362537202344,0.00047147405295463443
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,39,-50.02764499290697,-71.5103938111744,0.00047043602503044833
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,40,-49.80829879472222,-71.29023567201473,0.00046937959165737383
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,41,-49.59439721325444,-71.07549751110777,0.00046830539724144636
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,42,-49.38567851050279,-70.86591789757323,0.0004672141007708742
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,43,-49.18189942790663,-70.66125384627877,0.00046610637569836216
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,44,-48.98283348671457,-70.46127912282171,0.00046498290980221866
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,45,-48.78826947936854,-70.26578273873142,0.0004638444050542138
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,46,-48.59801012671471,-70.07456761200348,0.0004626915774884028
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,47,-48.41187087963274,-69.8874493715355,0.0004615251570709129
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,48,-48.22967884683983,-69.70425528729191,0.0004603458875224772
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,49,-48.05127183325202,-69.52482331075365,0.0004591545262354773
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,50,-47.876497475503854,-69.34900121221487,0.0004579518440636889
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,51,-47.7052124630761,-69.176645803428,0.0004567386252258242
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,52,-47.537281835055396,-69.00762223569158,0.00045551566711649457
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,53,-47.3725783438845,-68.84180336475967,0.0004542837801769659
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,54,-47.21098187858368,-68.67906917507854,0.0004530437877215519
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,55,-47.05237894089645,-68.51930625678204,0.0004517965257871552
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,56,-46.896662168638706,-68.36240732984973,0.0004505428429664121
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,57,-46.74372990123522,-68.20827081026957,0.0004492836002543422
